Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
VI,Visa,Chase,4788828868461256,Janet Blankenship,966,03/2017,03/2019,14,3379,83800
DS,Discover,Discover,6011655801472635,Dovie G Hollifield,475,05/2013,05/2028,25,1014,67100
AX,American Express,American Express,346365524447182,Evelyn K Conley,5528,02/2010,02/2019,25,7923,72700
VI,Visa,Chase,4092590475807054,Karmen Q Crosby,202,05/2012,05/2032,11,9624,82400
JC,Japan Credit Bureau,JCB,3564184600289510,Bernice E Dalton,335,01/2015,01/2021,15,1618,104600
DC,Diners Club International,Diners Club,30950201201977,Darin B Alvares,328,04/2009,04/2019,12,1220,62400
JC,Japan Credit Bureau,JCB,3565369387838485,Jessica V Hancock,633,05/2008,05/2016,16,5032,151000
JC,Japan Credit Bureau,JCB,3550217077034294,Brittanie J Flock,431,06/2007,06/2021,15,7614,82500
MC,Master Card,Capital One,5243302834370294,Charlotte Peters,235,11/2015,11/2031,18,2190,17400
MC,Master Card,Barclays,5383337531109751,Jean A Bashir,662,05/2014,05/2028,22,8375,61900
DC,Diners Club International,Diners Club,38306316873980,Lois P Norman,305,10/2014,10/2018,22,9461,36500
JC,Japan Credit Bureau,JCB,3540475508940637,Aliza W Brockway,131,11/2013,11/2023,12,9155,61500
JC,Japan Credit Bureau,JCB,3528584272445875,Anne N Figueroa,336,05/2009,05/2016,15,5588,80600
JC,Japan Credit Bureau,JCB,3556318097290546,Kennith Monge,605,12/2012,12/2026,17,6621,109800
MC,Master Card,Bank of America,5122304580799789,Marion L Jordan,114,04/2013,04/2016,28,1903,178400
MC,Master Card,Chase,5389042168911156,Kyong X Trower,170,12/2015,12/2018,28,2789,157300
MC,Master Card,Chase,5321813314827327,Sally U Russo,399,09/2010,09/2012,16,4308,177100
JC,Japan Credit Bureau,JCB,3575885857880598,Venita G Pough,876,04/2007,04/2024,19,4097,46500
VI,Visa,Chase,4241743824371591,Lester Johnson,852,09/2008,09/2016,13,1069,117000
DS,Discover,Discover,6599681881615117,Beverly Vanhorn,400,05/2017,05/2029,22,3006,192500
DS,Discover,Discover,6011589682494352,Roberta G Reed,841,06/2013,06/2022,2,3003,185700
DS,Discover,Discover,6011521864027163,Gillian K Blumenthal,130,11/2013,11/2020,25,2465,105400
AX,American Express,Bank of America,377811553186805,Joseph Porter,0061,06/2014,06/2016,3,5096,114500
JC,Japan Credit Bureau,JCB,3530544846598670,Wilbert Colligan,856,03/2009,03/2018,6,6026,105200
DC,Diners Club International,Diners Club,30039486341243,Diana F Lowe,789,02/2011,02/2012,24,1143,19200
JC,Japan Credit Bureau,JCB,3544633573390247,Lucien V Mathes,812,07/2016,07/2029,13,8947,36600
AX,American Express,USAA,345755649676817,Norma Burgess,4600,04/2007,04/2009,24,5448,172000
JC,Japan Credit Bureau,JCB,3529130803675447,Shantay N Tores,530,08/2014,08/2015,26,8077,46500
DS,Discover,Discover,6455754341701661,Florence H Humphrey,688,04/2015,04/2016,6,8166,91400
VI,Visa,GE Capital,4487841344051017,Domenic Daves,429,03/2011,03/2024,13,0849,179300
DS,Discover,Discover,6224687951424382,Luis R Calderon,560,02/2016,02/2036,28,3328,44300
DC,Diners Club International,Diners Club,30376772028369,Sun B Naranjo,372,06/2010,06/2017,9,6179,146300
DC,Diners Club International,Diners Club,36131927044181,Janice W Williams,200,05/2008,05/2025,22,1138,119500
VI,Visa,Citibank,4814827539470637,Delaine T Friedlander,382,12/2017,12/2035,18,2599,110300
AX,American Express,American Express,376044490996778,Albert Scott,2549,07/2009,07/2013,26,8579,62400
VI,Visa,Chase,4103836580213507,Lyndon Roebuck,555,03/2016,03/2027,17,1424,135900
MC,Master Card,Chase,5184412819683586,Mario V Good,269,07/2015,07/2025,3,4909,66200
JC,Japan Credit Bureau,JCB,3563295268233169,Samuel Doxey,714,06/2009,06/2010,10,5273,191300
JC,Japan Credit Bureau,JCB,3567158122053833,Emma Alston,282,03/2009,03/2018,28,1096,103400
AX,American Express,USAA,341829809908007,Andrew Q Raab,1340,05/2011,05/2017,24,4757,158800
VI,Visa,PNC,4998022288394380,Ann Sweet,542,09/2010,09/2017,28,4767,177900
DS,Discover,Discover,6011938506036958,Terrell Bui,724,04/2012,04/2022,26,8632,122800
AX,American Express,American Express,346073844091900,Nicholas Bernard,8370,02/2013,02/2019,26,4725,127300
VI,Visa,Chase,4330463562738818,Kris C Ballou,569,10/2013,10/2015,13,5257,108700
AX,American Express,USAA,379502490999495,Glenn W Hicks,1434,04/2010,04/2023,12,1597,120400
JC,Japan Credit Bureau,JCB,3576525203934165,Jesusita Beauchesne,964,09/2011,09/2025,2,5645,16000
VI,Visa,Cabela’s WFB,4234148475418312,Jean Camacho,102,09/2012,09/2019,28,3677,192800
DC,Diners Club International,Diners Club,30133688011488,Fatima Q Ferrier,450,09/2015,09/2032,17,0923,154700
VI,Visa,Chase,4378592110378033,Megan Poole,938,10/2009,10/2023,22,9534,63300
AX,American Express,Bank of America,345946154707275,Joey T Truby,2940,10/2013,10/2031,22,9530,182000
AX,American Express,American Express,377497675407715,Anne Stout,5070,05/2015,05/2016,1,1429,138500
DS,Discover,Discover,6224771579658371,Julian F Beauchamp,060,02/2013,02/2027,12,1946,174500
DC,Diners Club International,Diners Club,30956285595283,Tim A Kerr,366,05/2015,05/2020,25,6124,100500
VI,Visa,PNC,4385565407965622,Rhett P Almendarez,473,11/2007,11/2010,4,3278,18100
DS,Discover,Discover,6489796459818902,Sheila O White,904,10/2007,10/2017,3,2132,73800
JC,Japan Credit Bureau,JCB,3584665507905402,Kendal Hafer,986,09/2008,09/2013,24,6500,184600
DS,Discover,Discover,6521089567238852,Harry V Burke,141,08/2013,08/2028,23,4976,99100
JC,Japan Credit Bureau,JCB,3576555332749176,Tu Y Pryce,868,06/2013,06/2023,24,1686,172800
JC,Japan Credit Bureau,JCB,3587817064829494,Herman Q Knowles,847,08/2012,08/2026,25,4517,155700
DC,Diners Club International,Diners Club,30404345073637,Abe G Howe,176,10/2008,10/2022,8,9015,58600
DC,Diners Club International,Diners Club,30957827884789,Monica Q Ferguson,384,03/2011,03/2022,18,0919,165300
VI,Visa,Chase,4145299596382750,Aida I Barrows,364,01/2009,01/2020,13,5891,196800
DC,Diners Club International,Diners Club,30473307533003,Debra Q Bean,913,01/2017,01/2036,1,8302,33600
DC,Diners Club International,Diners Club,30939433998427,Cornell U Bivins,060,07/2009,07/2025,28,0965,52600
AX,American Express,American Express,374898353216471,Billy M Todd,4580,07/2014,07/2024,13,7660,17900
DS,Discover,Discover,6597457331314177,Carmen C Owsley,433,10/2014,10/2018,13,0397,42600
DS,Discover,Discover,6011049956183090,Ralph N Pugh,652,07/2010,07/2021,26,3096,51800
JC,Japan Credit Bureau,JCB,3550567484252800,Chester Shea,366,07/2016,07/2022,4,4144,47800
DS,Discover,Discover,6544057445513088,Stephanie G Warren,993,08/2009,08/2023,24,7939,120000
DS,Discover,Discover,6011350179179158,Leigha Y Brady,884,12/2013,12/2023,27,2610,91300
VI,Visa,Chase,4172935252952859,Bonnie H Walter,840,08/2014,08/2026,17,9808,29500
DS,Discover,Discover,6011206996875172,Bill F Cassel,556,03/2010,03/2020,26,6452,171500
MC,Master Card,Citibank,5365599951672541,Clifford D Delacruz,513,01/2010,01/2024,10,6184,196600
JC,Japan Credit Bureau,JCB,3558053839916888,Kerri R Devera,533,12/2009,12/2028,5,4868,86300
MC,Master Card,U.S. Bancorp,5443177068209444,Phyllis King,260,09/2013,09/2021,27,4552,177700
MC,Master Card,Bank of America,5248109201348786,Victor Q Kinzer,739,02/2015,02/2018,25,0171,134700
DC,Diners Club International,Diners Club,30998295278831,Steven D Salinas,300,02/2017,02/2025,9,3672,81500
JC,Japan Credit Bureau,JCB,3578400562616431,Kenyetta C Specht,445,04/2017,04/2020,25,8969,15700
JC,Japan Credit Bureau,JCB,3578077255168118,Maurice K Haynes,668,03/2015,03/2029,8,5054,164400
AX,American Express,U.S. Bancorp,375969193645903,Darin Dials,3061,03/2012,03/2022,19,2751,137600
VI,Visa,Citibank,4745264390025991,Dennis French,118,05/2016,05/2020,27,6179,40800
DS,Discover,Discover,6224704304845260,Kenyatta Y Tew,282,11/2016,11/2022,6,3208,90900
VI,Visa,Chase,4950839198158134,Ernest Middleton,474,05/2013,05/2020,23,9555,127000
DC,Diners Club International,Diners Club,30997569562557,Danilo A Grullon,225,03/2011,03/2026,23,0088,112900
DS,Discover,Discover,6011082450567914,Brent Pace,955,10/2007,10/2011,21,4141,193700
DS,Discover,Discover,6456274949537283,Charles D Byford,238,09/2012,09/2015,17,1905,13800
MC,Master Card,Barclays,5223958149503483,Jonathan Fitzpatrick,583,08/2007,08/2013,21,8224,21600
VI,Visa,Bank of America,4270914090048759,Elliott F Collman,083,02/2009,02/2020,25,2308,155900
DC,Diners Club International,Diners Club,30067026189459,Pedro Stafford,970,09/2008,09/2022,25,5306,171000
DS,Discover,Discover,6455562655786693,Jerica Talmadge,468,12/2017,12/2029,3,7435,190900
JC,Japan Credit Bureau,JCB,3589905634976305,Valerie P Parker,387,06/2013,06/2030,16,7056,161400
AX,American Express,American Express,374556397446831,Norris M Shoe,0949,08/2016,08/2036,28,2045,52400
DS,Discover,Discover,6011572332326018,Alice A Delgado,359,05/2016,05/2019,10,9895,151700
MC,Master Card,Bank of America,5270858959479554,Shonda J Cohn,105,08/2015,08/2030,23,4762,144500
AX,American Express,USAA,341089927146374,Dana X Mcclure,0178,06/2007,06/2023,8,4284,90100
DS,Discover,Discover,6228869740425815,Milan Cowell,130,02/2008,02/2020,7,5226,184800
DC,Diners Club International,Diners Club,30450257673278,Sheila R Cotton,920,08/2010,08/2011,19,8256,46300
AX,American Express,American Express,373622505213413,Ramona J Gore,0772,05/2009,05/2027,25,8471,12700
AX,American Express,American Express,370277217789441,Louise Matthews,0764,07/2013,07/2024,8,9284,165600
DC,Diners Club International,Diners Club,30137183792336,Toby T Brey,033,02/2011,02/2026,23,4348,14100
VI,Visa,Cabela’s WFB,4440338644309233,Hector Y Pickett,540,12/2011,12/2016,13,1019,57900
DC,Diners Club International,Diners Club,30201286153802,Setsuko Q Steinman,887,08/2013,08/2023,8,2293,196100
DS,Discover,Discover,6539522524983863,Frank Y Baldwin,063,07/2007,07/2016,7,3981,149000
DC,Diners Club International,Diners Club,30571057747853,Charles Motyka,374,01/2009,01/2013,27,4263,31500
MC,Master Card,Chase,5121446565465588,Bernard Romero,199,02/2013,02/2027,27,1755,150800
DS,Discover,Discover,6011661415524332,Lavinia H Soltero,008,12/2012,12/2017,1,1145,101000
VI,Visa,Chase,4045094521822199,Scott U Roman,535,02/2013,02/2025,10,6755,122300
DC,Diners Club International,Diners Club,30028106423903,Sarah W Brunette,258,06/2007,06/2009,15,0458,145300
AX,American Express,American Express,379247300563780,Derek Bowman,6040,06/2011,06/2031,23,2127,136200
MC,Master Card,Chase,5411715846304710,Corinne Rounds,883,09/2009,09/2024,2,5654,162200
MC,Master Card,Citibank,5308326391918023,Carl X Estrada,103,06/2017,06/2032,21,8844,123200
JC,Japan Credit Bureau,JCB,3566585247039779,Sunday Casiano,654,11/2010,11/2030,13,9835,16700
VI,Visa,Chase,4421649025757433,Clara Townsend,790,08/2007,08/2016,7,9555,186900
MC,Master Card,Chase,5146820353418549,Adelaida E Kell,694,11/2010,11/2013,16,9193,111800
DC,Diners Club International,Diners Club,30468904734459,Jacqueline U Simpson,388,01/2012,01/2019,4,3260,17100
JC,Japan Credit Bureau,JCB,3541423135075921,Harland Z Maillet,732,06/2009,06/2013,20,3994,13600
VI,Visa,Chase,4358175460241235,Kenneth P Page,840,03/2013,03/2027,7,7364,67000
MC,Master Card,Wells Fargo,5269132159845995,Kareem R Beachum,834,03/2007,03/2009,9,7409,146000
AX,American Express,American Express,373434694643974,Tina X Albert,3123,10/2007,10/2009,26,6183,177800
DS,Discover,Discover,6011940214968324,Jerrell Guillot,039,10/2017,10/2025,16,5013,119900
AX,American Express,American Express,373726518278337,Jesse M Velasquez,3946,07/2014,07/2029,8,7445,121800
VI,Visa,Chase,4460761884813090,Bobby Z Macon,700,06/2014,06/2017,21,0257,49100
DS,Discover,Discover,6011241478801669,Floyd X Cobb,664,03/2008,03/2020,8,0875,123700
DC,Diners Club International,Diners Club,30470645639419,Aldo R Tran,600,11/2012,11/2022,22,3730,33800
DC,Diners Club International,Diners Club,30060285521462,Angela R Bass,969,03/2008,03/2013,1,5407,32700
MC,Master Card,Capital One,5210735205961556,Renato G Mcroy,099,02/2007,02/2026,16,6527,75600
DC,Diners Club International,Diners Club,30934310412121,Anna X Larson,691,01/2015,01/2019,19,4087,53500
AX,American Express,U.S. Bancorp,371933061687144,Carolyne G Glisson,2006,04/2010,04/2026,10,0524,73700
MC,Master Card,Capital One,5133879846407399,Debbie E Hyde,014,12/2017,12/2022,16,8240,91900
DC,Diners Club International,Diners Club,30977854251439,Mauricio Minks,679,03/2011,03/2016,15,0883,169100
DC,Diners Club International,Diners Club,38970039609599,Clara B Ramirez,955,12/2017,12/2023,12,4958,148400
JC,Japan Credit Bureau,JCB,3529725942318690,Vinita E Swann,102,08/2010,08/2017,11,8597,40900
AX,American Express,American Express,378299611014863,Ricky M Mckee,5052,01/2010,01/2020,16,4464,52400
DC,Diners Club International,Diners Club,30419616021719,Carlos L Bowe,991,06/2009,06/2026,10,3385,179000
DC,Diners Club International,Diners Club,30914980057562,Kathryn Jennings,423,10/2014,10/2026,26,6429,111600
VI,Visa,First National,4816047568394727,Meta H Heckler,949,04/2010,04/2018,10,9753,29800
DC,Diners Club International,Diners Club,39913011422713,Emily R Duran,650,01/2014,01/2019,25,6790,117600
DS,Discover,Discover,6226190133434526,Nadia Gibb,218,08/2015,08/2027,3,1527,125100
MC,Master Card,Chase,5428210574184717,Linda B Shannon,998,07/2015,07/2034,15,9145,85900
DC,Diners Club International,Diners Club,36741659604182,Fawn Y Sharon,187,07/2010,07/2020,5,2681,146400
AX,American Express,Bank of America,373752373261838,Patrick V Thomas,5025,10/2016,10/2030,17,7274,76700
AX,American Express,USAA,342871624348943,Sarina Dombroski,3297,12/2009,12/2014,17,4764,128900
JC,Japan Credit Bureau,JCB,3585769740974305,Lori U Buchanan,231,05/2010,05/2013,8,7862,98600
DC,Diners Club International,Diners Club,30156755536509,Kendal J Marino,069,09/2014,09/2022,6,3738,83200
DS,Discover,Discover,6011883693877949,Edith M Bush,602,06/2011,06/2017,23,4975,198700
MC,Master Card,Citibank,5312750147820718,Latonya Hummell,146,06/2013,06/2029,9,1548,13000
MC,Master Card,Barclays,5209214183113419,Brent Q Walters,664,10/2014,10/2017,13,0355,123700
DC,Diners Club International,Diners Club,30174038033996,Clark T Scheffel,885,06/2015,06/2026,27,0227,72800
DC,Diners Club International,Diners Club,30166647163826,Tom U Lynch,981,02/2013,02/2033,3,6108,83000
VI,Visa,U.S. Bancorp,4552180457739799,Lupe E Maes,683,06/2016,06/2031,8,8854,88000
MC,Master Card,Chase,5478769582762375,Albert H Bentley,691,03/2014,03/2024,15,8822,191800
VI,Visa,Chase,4634431020403393,Maynard P Drapeau,758,11/2012,11/2026,5,6178,177700
DS,Discover,Discover,6011659345013699,Angela I Reese,672,02/2007,02/2022,3,6705,28900
MC,Master Card,Barclays,5444780995920337,Jody Obrian,671,06/2008,06/2015,9,4214,86200
AX,American Express,USAA,379068486230410,Clara N Mercado,9044,03/2009,03/2010,14,3790,167300
MC,Master Card,Bank of America,5338708058385048,Blanch L Scoles,534,04/2007,04/2019,12,0632,198800
MC,Master Card,Chase,5188822483642716,Don S Mcconnell,724,06/2013,06/2017,10,7767,170700
JC,Japan Credit Bureau,JCB,3550263673035004,Ossie Y Rasch,618,05/2008,05/2025,20,0248,43700
AX,American Express,American Express,371516567025040,Margaret B Robles,0763,09/2012,09/2027,3,0523,143500
VI,Visa,Wells Fargo,4730900614765758,Anjelica K Demaio,473,05/2008,05/2015,16,8423,10400
DC,Diners Club International,Diners Club,30923611446417,Willie J Barker,905,06/2007,06/2026,10,2923,41700
AX,American Express,American Express,346211628144632,Hanna Goldberg,1174,10/2015,10/2024,23,1696,89900
MC,Master Card,Capital One,5438461107660198,Emily Waters,259,01/2013,01/2031,22,7929,125000
AX,American Express,American Express,344465539810341,Tristan E Churchwell,6618,11/2012,11/2023,20,3454,133900
DC,Diners Club International,Diners Club,30360176896407,Eva Y Becker,444,07/2011,07/2026,23,8585,85500
DC,Diners Club International,Diners Club,30907499717700,Margit O Leib,661,07/2014,07/2018,6,4948,93500
JC,Japan Credit Bureau,JCB,3565345394436687,Andrew L Charles,122,02/2008,02/2021,13,9963,137000
DC,Diners Club International,Diners Club,30430711083876,Solange V Samons,581,02/2007,02/2008,8,4483,77300
VI,Visa,Wells Fargo,4008018063345413,Michael G Mckay,489,09/2012,09/2014,11,6604,174300
MC,Master Card,U.S. Bancorp,5419985480636105,Shaun B Olmeda,082,06/2014,06/2019,24,0075,117200
VI,Visa,U.S. Bancorp,4841907717521596,Anita S Baird,285,06/2016,06/2027,24,9536,193300
DS,Discover,Discover,6228618107499651,Randolph Matthes,415,03/2011,03/2025,16,3403,144100
AX,American Express,American Express,345127989755827,Phyllis N Foley,6778,11/2014,11/2032,10,9426,75100
DS,Discover,Discover,6011270514864282,Isidro Greenfield,784,01/2008,01/2014,16,5361,159400
DC,Diners Club International,Diners Club,30353472206181,Lillian Pittman,979,09/2012,09/2021,23,4920,120600
DS,Discover,Discover,6229083269670855,Rogelio Hamlet,969,01/2015,01/2027,7,6023,57900
AX,American Express,American Express,340777237903879,Anne I Palmer,8984,02/2014,02/2026,23,7750,153300
VI,Visa,U.S. Bancorp,4335407797431140,Marvel Hutton,610,11/2010,11/2017,2,4335,133200
AX,American Express,U.S. Bancorp,348399564161674,Tyler I Conway,7871,11/2016,11/2033,5,8655,191400
DS,Discover,Discover,6011605862182581,Kirby P Callis,481,01/2017,01/2022,7,5348,106200
VI,Visa,Chase,4132230474564560,Roberta Fischer,490,04/2009,04/2020,26,0684,33700
AX,American Express,American Express,346316820715566,Eugene H Pua,4285,04/2016,04/2032,15,5301,83300
AX,American Express,American Express,374100205997386,Charlotte Hancock,2178,10/2010,10/2012,14,8954,93400
DC,Diners Club International,Diners Club,30129923049226,Monty Ladwig,331,09/2011,09/2020,1,7364,50200
AX,American Express,American Express,343366493427968,Howard Reynolds,0710,09/2017,09/2026,14,8400,159500
AX,American Express,Bank of America,342031121054078,Jermaine G Stpierre,0655,04/2008,04/2017,10,3368,70400
JC,Japan Credit Bureau,JCB,3587802348841663,Michelle D Rodgers,612,10/2016,10/2022,15,3610,36800
MC,Master Card,GE Capital,5389084818285193,Brady Y Guenther,056,07/2010,07/2027,22,9314,173200
DS,Discover,Discover,6530203699849838,Carlos Orr,992,09/2012,09/2017,26,7288,167700
JC,Japan Credit Bureau,JCB,3546289517116210,Anthony M Delp,920,06/2008,06/2012,8,4986,102300
DC,Diners Club International,Diners Club,30405433806705,Susan J Burton,285,04/2015,04/2035,13,6405,199800
VI,Visa,Chase,4075861927841384,Miles Hensler,914,07/2016,07/2020,6,0484,95800
DS,Discover,Discover,6226641297927002,Scott L Hancock,051,03/2012,03/2032,3,7619,163000
AX,American Express,American Express,347899229448532,Julee Atencio,8794,07/2015,07/2030,10,4973,113800
DC,Diners Club International,Diners Club,30117827013257,Ellen Carter,913,03/2009,03/2018,19,6010,29900
MC,Master Card,Chase,5312841618332661,Mira D Appling,878,06/2014,06/2031,13,5481,109100
VI,Visa,First National,4291884388692235,Loretta P Crawford,116,01/2014,01/2022,24,3695,139400
VI,Visa,Citibank,4367769895016888,Eric P Critchlow,324,09/2016,09/2023,25,6045,183000
MC,Master Card,Citibank,5478962291892068,Joanne L Leblanc,308,07/2015,07/2019,22,7396,64700
MC,Master Card,USAA,5155260394866570,Freeda Goldner,398,08/2014,08/2017,2,0016,85000
AX,American Express,American Express,374302671617981,Alice F Gilliam,0350,06/2013,06/2017,15,6507,18000
MC,Master Card,Citibank,5168629675195765,Lovella C Searles,466,12/2016,12/2024,23,0852,35600
VI,Visa,USAA,4411643956243978,Sarah Gordon,808,01/2016,01/2026,21,5740,188900
MC,Master Card,Citibank,5439792006740973,Marti Saltsman,877,12/2008,12/2013,15,9186,144300
JC,Japan Credit Bureau,JCB,3571115995841482,Tony C Morse,611,02/2016,02/2034,19,8894,113600
JC,Japan Credit Bureau,JCB,3577039534720656,Chuck I Krupa,923,10/2007,10/2020,28,6507,116900
DS,Discover,Discover,6011740535445261,Gilbert T Hardin,658,06/2017,06/2023,7,2830,28600
DC,Diners Club International,Diners Club,30388833254439,Loree T Clutter,174,01/2007,01/2019,23,8251,41700
DS,Discover,Discover,6011624077576099,Terry Johns,680,08/2014,08/2017,11,3194,128000
DS,Discover,Discover,6011528756570390,Casimira R Fuqua,053,09/2007,09/2009,7,1617,50400
AX,American Express,American Express,341759835723874,Tiffany Alvarez,4895,09/2009,09/2020,18,5970,154900
JC,Japan Credit Bureau,JCB,3553368659203844,Stormy Y Bogard,555,11/2013,11/2029,12,5922,119800
JC,Japan Credit Bureau,JCB,3549477961930494,Ashley Y Allen,883,04/2015,04/2028,11,1406,91400
VI,Visa,Chase,4238187566834314,Quinton P Jude,963,10/2009,10/2028,4,5813,185400
JC,Japan Credit Bureau,JCB,3542687526746501,Charlotte Jackson,323,03/2011,03/2021,20,9391,102300
DC,Diners Club International,Diners Club,30272750259193,Leilani Wilkie,327,04/2016,04/2028,10,0135,28300
DS,Discover,Discover,6011654931437238,Kathleen V Frazier,270,04/2017,04/2034,19,7841,20700
DS,Discover,Discover,6589119582923219,Amanda C Rolon,613,08/2009,08/2022,11,1783,150200
DS,Discover,Discover,6011376987497375,Anna Valentine,515,04/2016,04/2025,24,8151,47100
MC,Master Card,Chase,5337840238178398,Lanell Ridenhour,407,05/2009,05/2021,15,6338,153100
DC,Diners Club International,Diners Club,30117135180566,Juan T Lowery,628,06/2016,06/2033,12,4282,195800
VI,Visa,Wells Fargo,4495322167937798,Kasha Bull,900,04/2008,04/2023,9,9806,114700
DS,Discover,Discover,6221865458843550,Craig V Noel,825,08/2007,08/2018,19,4545,62000
AX,American Express,Bank of America,340754526413316,Sulema Mcgovern,1071,01/2007,01/2014,16,8270,50800
DC,Diners Club International,Diners Club,30220173639350,Bradley W Glover,051,06/2017,06/2023,1,7639,153000
MC,Master Card,Capital One,5292696593407563,Dusty Q Puig,119,11/2008,11/2014,17,4775,199200
DC,Diners Club International,Diners Club,30111171565368,Wayne Frye,375,10/2017,10/2019,17,7013,178000
VI,Visa,Wells Fargo,4336144560535091,Livia Carothers,126,03/2015,03/2030,14,1241,162600
MC,Master Card,Bank of America,5346895840395193,Francis Ford,192,01/2013,01/2028,11,0106,196400
DC,Diners Club International,Diners Club,30249011714612,Marquetta Frakes,368,12/2017,12/2035,12,5737,120900
DS,Discover,Discover,6011230853490305,Derrick V Joyner,008,09/2009,09/2026,24,1540,114700
JC,Japan Credit Bureau,JCB,3589341725987458,Carlotta A Newland,007,03/2013,03/2025,28,7915,153800
MC,Master Card,USAA,5381116573052604,Nancy Donovan,745,03/2015,03/2021,14,1814,106000
JC,Japan Credit Bureau,JCB,3579850305522701,Jennine Hoopes,071,08/2016,08/2020,15,7920,28900
JC,Japan Credit Bureau,JCB,3549579507444045,Walter Heath,656,10/2016,10/2033,17,5569,197500
AX,American Express,American Express,372002291901227,Monica V Earley,2211,09/2010,09/2023,23,6592,152800
VI,Visa,Chase,4278926937660275,Stacy Brown,510,04/2015,04/2018,8,5992,174500
DS,Discover,Discover,6441228400486925,Davis U Sanderlin,933,04/2007,04/2027,26,7265,55000
MC,Master Card,Citibank,5490651713868079,Willie J Peterson,348,05/2008,05/2013,14,4404,42400
DC,Diners Club International,Diners Club,30107456199006,Berry H Pesce,553,01/2016,01/2023,7,1986,135600
VI,Visa,Chase,4389885256044873,Lester T Walters,535,02/2007,02/2024,20,6619,10000
VI,Visa,USAA,4941292346904342,Caron Mathers,489,06/2011,06/2016,14,7455,103400
AX,American Express,American Express,340883453995472,Gerald J Mcdowell,3915,07/2013,07/2020,10,0114,138800
VI,Visa,Bank of America,4697773383537208,Benedict J Quiroga,041,09/2013,09/2025,7,8509,119500
JC,Japan Credit Bureau,JCB,3589158167957546,Alice C Collins,552,08/2012,08/2024,4,8585,48100
DC,Diners Club International,Diners Club,36544390190853,Trinh Suits,587,11/2008,11/2026,3,9452,67600
DS,Discover,Discover,6456880213833867,Alfred U Hamilton,628,05/2012,05/2018,2,2945,58100
AX,American Express,American Express,346801458169723,Genevive T Clinard,0066,01/2010,01/2013,13,6053,22900
DS,Discover,Discover,6011123758109676,Walter F Copeland,220,01/2017,01/2030,21,0341,69700
AX,American Express,American Express,376774450551037,Carmen Thelen,0426,10/2016,10/2020,27,3521,94000
AX,American Express,U.S. Bancorp,343253589705921,Gail Joseph,9932,02/2010,02/2022,24,5222,132900
VI,Visa,USAA,4635651681478769,Love P Gossard,475,05/2011,05/2019,15,8267,144300
AX,American Express,American Express,376210387261838,Dale S Pickett,0028,05/2008,05/2013,15,9062,47300
MC,Master Card,Chase,5149060302607432,Lonny E Hiebert,935,10/2010,10/2013,24,3768,134400
MC,Master Card,U.S. Bancorp,5220289887421511,Leslie K Joyner,167,07/2014,07/2034,19,7756,139900
MC,Master Card,Citibank,5325623958556884,Stan V Froehlich,102,01/2015,01/2029,25,3344,166300
JC,Japan Credit Bureau,JCB,3576621695275686,Rose Y Downs,332,03/2008,03/2020,9,8297,88800
VI,Visa,Citibank,4585816708253459,Shelby Mcfalls,561,05/2011,05/2018,5,5166,114400
DS,Discover,Discover,6011846165142316,Dale D Willis,440,02/2014,02/2031,26,8751,123900
AX,American Express,American Express,349437978067993,Tanisha S Stamper,9525,10/2013,10/2025,16,7297,110000
MC,Master Card,Chase,5427904586117597,Eddie C Daniel,446,04/2008,04/2011,1,8131,48400
DC,Diners Club International,Diners Club,36474800440427,Tereasa S Balderas,478,05/2008,05/2022,24,3089,150800
VI,Visa,Chase,4303742444217320,Anna Wyatt,380,08/2015,08/2019,14,5208,126400
MC,Master Card,Citibank,5341311764264683,Nova Catt,972,12/2008,12/2017,10,9743,194700
DC,Diners Club International,Diners Club,30181969426826,Eva M Jennings,448,02/2015,02/2021,13,7836,135400
DS,Discover,Discover,6011797009851770,Roberta A Munsch,177,12/2010,12/2030,16,5343,55400
VI,Visa,Chase,4681246520650463,Jennifer S Padilla,305,01/2015,01/2031,23,6837,153900
DS,Discover,Discover,6226887568059039,Vern Riley,460,01/2016,01/2021,6,2184,175700
AX,American Express,American Express,370967774613956,Greg Richmond,6526,11/2013,11/2030,22,1031,49700
VI,Visa,PNC,4877379052253333,Chet N Morais,613,07/2008,07/2011,9,6697,27100
DC,Diners Club International,Diners Club,30147961234583,Jesus J Buchanan,861,04/2012,04/2030,12,2455,191900
AX,American Express,American Express,345932113883654,Trent Perkins,8684,02/2011,02/2028,22,8789,60500
VI,Visa,Cabela’s WFB,4695904056996361,Danny A Atkins,429,08/2012,08/2022,27,3337,66500
JC,Japan Credit Bureau,JCB,3548332907662985,Phillip V Basnight,211,07/2017,07/2037,7,5914,60500
VI,Visa,GE Capital,4506161060584829,Brandon Foster,904,11/2007,11/2013,18,8899,77800
DS,Discover,Discover,6011770746439076,Elia N Taylor,443,03/2014,03/2018,15,9673,111200
VI,Visa,Chase,4655030292731061,Diane Barnett,146,11/2012,11/2028,24,2533,76200
MC,Master Card,Citibank,5247329552104122,Iluminada A Bankston,278,07/2013,07/2021,14,5281,163500
DC,Diners Club International,Diners Club,30376150069506,Tommy R Pickett,001,03/2017,03/2018,14,2430,180800
